[21/04/2025, 17:23:59] Usuário: THIAGO ALVES NUNES | Arquivo: teste.xlsx | Inseridos: 0 | Ignorados: 822 (Existentes: 822, Sem BD: 0)
Pós BD =>[21/04/2025, 17:25:37] Usuário: THIAGO ALVES NUNES | Arquivo: teste.xlsx | Inseridos: 0 | Ignorados: 822 (Existentes: 822, Sem BD: 0)
Pós BD => [21/04/2025, 17:26:19] Usuário: THIAGO ALVES NUNES | Arquivo: teste.xlsx | Inseridos: 0 | Ignorados: 822 (Existentes: 822, Sem BD: 0)
Pós BD => [21/04/2025, 17:39:24] Usuário: THIAGO ALVES NUNES | Arquivo: teste.xlsx | Inseridos: 0 | Ignorados: 822 (Existentes: 822, Sem BD: 0)
Pós BD => [21/04/2025, 18:08:36] Usuário: THIAGO ALVES NUNES | Arquivo: teste.xlsx | Inseridos: 0 | Ignorados: 822 (Existentes: 822, Sem BD: 0)
Pós BD => [21/04/2025, 18:09:06] Usuário: THIAGO ALVES NUNES | Arquivo: teste.xlsx | Inseridos: 31 | Ignorados: 791 (Existentes: 791, Sem BD: 0)
Pós BD => [21/04/2025, 18:09:56] Usuário: THIAGO ALVES NUNES | Arquivo: teste.xlsx | Inseridos: 0 | Ignorados: 822 (Existentes: 822, Sem BD: 0)
Pós BD => [24/04/2025, 20:35:01] Usuário: THIAGO ALVES NUNES | Arquivo: teste.xlsx | Inseridos: 822 | Ignorados: 0 (Existentes: 0, Sem BD: 0)
Pós BD => [01/05/2025, 12:12:34] Usuário: THIAGO | Arquivo: Pasta2.xlsx | Inseridos: 0 | Ignorados: 440 (Existentes: 440, Sem BD: 0)
Pós BD => [01/05/2025, 12:15:06] Usuário: THIAGO | Arquivo: PÃS_B2B.xlsx | Inseridos: 0 | Ignorados: 440 (Existentes: 440, Sem BD: 0)
Pós BD => [01/05/2025, 12:36:31] Usuário: THIAGO | Arquivo: PÃS_B2B.xlsx | Inseridos: 27 | Ignorados: 413 (Existentes: 413, Sem BD: 0)
Pós BD => [02/05/2025, 17:39:25] Usuário: THIAGO | Arquivo: PÃS_B2B.xlsx | Inseridos: 0 | Ignorados: 440 (Existentes: 440, Sem BD: 0)
Pós BD => [02/05/2025, 17:39:47] Usuário: THIAGO | Arquivo: PÃS_B2B.xlsx | Inseridos: 0 | Ignorados: 440 (Existentes: 440, Sem BD: 0)
Pós BD => [02/05/2025, 20:07:20] Usuário: ADMIN LOCAL | Arquivo: BDS_TOTAIS.csv | Inseridos: 0 | Ignorados: 16 (Existentes: 0, Sem BD: 0, Quebradas: 16)
Pós BD => [02/05/2025, 20:09:22] Usuário: ADMIN LOCAL | Arquivo: BDS_TOTAIS.csv | Inseridos: 720 | Ignorados: 837 (Existentes: 821, Sem BD: 0, Quebradas: 16)
Pós BD => [02/05/2025, 20:10:23] Usuário: ADMIN LOCAL | Arquivo: BDS_TOTAIS.csv | Inseridos: 0 | Ignorados: 1557 (Existentes: 1541, Sem BD: 0, Quebradas: 16)
Pós BD => [02/05/2025, 20:14:58] Usuário: ADMIN LOCAL | Arquivo: BDS_TOTAIS.csv | Inseridos: 1541 | Ignorados: 16 (Existentes: 0, Sem BD: 0, Quebradas: 16)
Pós BD => [02/05/2025, 20:18:03] Usuário: ADMIN LOCAL | Arquivo: BDS_TOTAIS.csv | Inseridos: 1541 | Ignorados: 16 (Existentes: 0, Sem BD: 0, Quebradas: 16)
Pós BD => [02/05/2025, 20:27:28] Usuário: ADMIN LOCAL | Arquivo: BDS_TOTAIS.csv | Inseridos: 0 | Ignorados: 1557 (Existentes: 1541, Sem BD: 0, Quebradas: 16)
